trans_code	vehicle_type	dist_seq	distribute_lea_tm	distribute_arr_tm	distance	trans_cost	charge_cost	wait_cost	fixed_use_cost	total_cost	charge_cnt
DP0020	1	0;188;428;511;440;1049;178;757;776;0	8:24	15:28	150764	1809.168	50	0	200	2059.168	1
DP0021	1	0;636;385;832;976;122;1075;983;195;0	8:2	15:21	151244	1814.928	50	5.6	200	2070.528	1
DP0022	1	0;781;902;79;84;323;557;668;1035;0	10:3	16:25	114218	1370.616	50	0	200	1620.616	1
DP0023	1	0;615;548;617;740;1016;0	11:4	15:58	117123	1405.476	50	0	200	1655.476	1
DP0024	1	0;157;673;199;160;648;1080;734;909;0	8:24	14:48	116337	1396.044	50	0	200	1646.044	1
DP0025	1	0;663;710;208;330;1035;0	10:46	15:48	124165	1489.98	50	0	200	1739.98	1
DP0026	1	0;744;839;145;917;571;1090;883;202;0	8:9	14:59	138504	1662.048	50	0	200	1912.048	1
DP0027	1	0;215;35;760;263;1031;579;297;845;0	8:22	15:59	175882	2110.584	50	0.4	200	2360.984	1
DP0028	1	0;467;723;465;236;104;382;1081;0	9:40	16:1	138809	1665.708	50	0	200	1915.708	1
DP0029	1	0;461;108;90;1081;0	12:28	16:39	106965	1283.58	50	0	200	1533.58	1
DP0030	1	0;722;743;482;303;860;1081;46;362;346;0	8:7	15:41	149120	1789.44	50	0.4	200	2039.84	1
DP0031	1	0;175;665;998;376;601;140;494;904;1057;0	8:50	15:56	126011	1512.132	50	0	200	1762.132	1
DP0032	1	0;625;416;60;806;1063;406;912;0	8:4	15:21	170753	2049.036	50	7.2	200	2306.236	1
DP0033	1	0;887;719;573;749;1012;970;818;0	8:19	15:16	168811	2025.732	50	0	200	2275.732	1
DP0034	1	0;224;859;966;32;1087;882;89;146;0	8:3	15:51	157352	1888.224	50	13.6	200	2151.824	1
DP0035	1	0;285;629;952;1039;0	11:34	16:23	138889	1666.668	50	0	200	1916.668	1
DP0036	1	0;649;878;926;363;1009;375;280;0	8:25	15:22	169380	2032.56	50	0	200	2282.56	1
DP0037	1	0;766;213;1039;315;521;888;0	8:0	16:11	178004	2136.048	50	38.4	200	2424.448	1
DP0038	1	0;316;972;5;348;1050;1000;765;0	8:33	15:3	134227	1610.724	50	6	200	1866.724	1
DP0039	1	0;598;874;445;686;1003;772;811;0	8:33	15:19	160071	1920.852	50	0	200	2170.852	1
DP0040	1	0;452;225;900;1009;121;896;491;0	8:18	15:51	175493	2105.916	50	12.4	200	2368.316	1
DP0041	1	0;821;62;206;1002;3;270;0	8:17	15:29	166176	1994.112	50	19.6	200	2263.712	1
DP0042	1	0;658;935;337;1074;48;13;0	8:5	15:29	178362	2140.344	50	18.8	200	2409.144	1
DP0043	1	0;731;620;1089;0	12:35	17:6	149301	1791.612	50	0	200	2041.612	1
DP0044	1	0;770;131;712;331;1020;339;152;0	8:0	15:13	163852	1966.224	50	9.2	200	2225.424	1
DP0045	1	0;522;322;979;499;1029;0	10:58	17:1	130635	1567.62	50	21.2	200	1838.82	1
DP0046	1	0;394;446;512;803;692;0	9:28	15:28	86698	1040.376	0	41.2	200	1281.576	0
DP0047	1	0;605;856;408;58;36;204;784;0	8:47	14:30	85275	1023.3	0	10.4	200	1233.7	0
DP0048	1	0;763;501;250;899;284;716;229;401;919;356;0	8:42	15:46	86000	1032	0	6.4	200	1238.4	0
DP0049	1	0;850;541;871;939;0	8:34	12:10	57515	690.18	0	9.6	200	899.78	0
DP0050	1	0;910;338;237;602;524;0	9:5	13:24	87791	1053.492	0	0	200	1253.492	0
DP0051	1	0;124;171;742;276;0	12:46	16:0	59254	711.048	0	0	200	911.048	0
DP0052	1	0;677;791;810;0	12:30	15:11	57896	694.752	0	0	200	894.752	0
DP0053	1	0;945;550;785;0	12:30	15:28	71507	858.084	0	0	200	1058.084	0
DP0054	1	0;4;843;170;802;437;992;678;0	8:43	14:40	81373	976.476	0	18	200	1194.476	0
DP0055	1	0;220;254;7;543;64;544;423;476;205;837;1019;0	8:51	16:54	121181	1454.172	50	0	200	1704.172	1
DP0056	1	0;606;542;866;9;721;798;641;304;477;1043;0	8:33	15:58	115794	1389.528	50	0	200	1639.528	1
DP0057	1	0;955;922;826;700;106;532;508;967;1028;0	8:31	15:53	114253	1371.036	50	11.6	200	1632.636	1
DP0058	1	0;291;841;133;689;0	9:8	12:34	65633	787.596	0	2	200	989.596	0
DP0059	1	0;189;865;57;281;616;717;932;0	8:40	13:46	70098	841.176	0	3.2	200	1044.376	0
DP0060	1	0;288;767;442;92;0	9:22	12:28	44385	532.62	0	4.4	200	737.02	0
DP0061	1	0;17;54;741;0	9:34	12:13	55346	664.152	0	0	200	864.152	0
DP0062	1	0;161;652;504;520;0	12:46	15:38	41677	500.124	0	0	200	700.124	0
DP0063	1	0;732;650;257;0	12:36	15:16	56703	680.436	0	0	200	880.436	0
DP0064	1	0;645;128;489;0	9:18	11:58	56215	674.58	0	0	200	874.58	0
DP0065	1	0;820;591;0	9:37	14:14	41668	500.016	0	66.4	200	766.416	0
DP0066	1	0;153;580;441;666;495;232;397;212;949;269;0	8:33	15:51	98238	1178.856	0	5.2	200	1384.056	0
DP0067	1	0;462;813;473;538;808;0	8:44	12:40	70069	840.828	0	0	200	1040.828	0
DP0068	1	0;553;816;868;609;846;0	8:54	12:40	60731	728.772	0	0	200	928.772	0
DP0069	1	0;863;529;603;907;389;855;714;148;0	8:34	14:29	91115	1093.38	0	0	200	1293.38	0
DP0070	1	0;738;14;693;0	9:5	11:51	61379	736.548	0	0	200	936.548	0
DP0071	1	0;283;590;807;0	12:43	15:24	56820	681.84	0	0	200	881.84	0
DP0072	2	0;456;996;273;429;484;150;576;211;289;1014;0	8:29	16:43	132865	1860.11	50	11.6	300	2221.71	1
DP0073	2	0;497;411;404;621;0	8:25	12:42	82808	1159.312	0	14.4	300	1473.712	0
DP0074	2	0;699;392;31;894;255;611;86;940;0	8:26	15:14	115622	1618.708	0	10	300	1928.708	0
DP0075	2	0;610;574;419;351;563;314;181;135;1014;0	8:52	16:6	132971	1861.594	50	0	300	2211.594	1
DP0076	2	0;697;870;336;735;455;937;1073;669;0	8:50	16:29	154641	2164.974	50	11.6	300	2526.574	1
DP0077	2	0;746;797;944;0	8:48	14:11	98285	1375.99	0	45.6	300	1721.59	0
DP0078	2	0;247;662;0	8:48	14:42	83119	1163.666	0	77.2	300	1540.866	0
DP0079	2	0;167;334;755;97;0	8:19	12:13	82767	1158.738	0	4.4	300	1463.138	0
DP0080	2	0;646;782;764;126;413;0	8:26	12:48	90836	1271.704	0	0	300	1571.704	0
DP0081	2	0;830;282;492;771;396;977;438;844;223;360;0	8:16	15:59	113021	1582.294	0	9.2	300	1891.494	0
DP0082	2	0;999;341;891;941;310;0	8:19	12:39	89275	1249.85	0	0	300	1549.85	0
DP0083	2	0;562;266;943;410;226;973;0	8:27	13:19	90066	1260.924	0	0	300	1560.924	0
DP0084	2	0;18;930;328;430;93;880;136;200;815;0	8:52	15:56	112249	1571.486	0	5.2	300	1876.686	0
DP0085	2	0;366;272;275;0	9:20	12:35	85865	1202.11	0	0	300	1502.11	0
DP0086	2	0;707;814;496;28;480;27;0	10:29	16:2	103059	1442.826	0	10.4	300	1753.226	0
DP0087	2	0;41;259;191;309;0	12:26	16:11	84249	1179.486	0	0	300	1479.486	0
DP0088	2	0;417;568;918;779;0	12:22	16:5	83054	1162.756	0	0	300	1462.756	0
DP0089	2	0;656;630;936;509;434;0	12:18	16:37	88252	1235.528	0	0	300	1535.528	0
DP0090	2	0;873;990;166;0	12:25	15:20	68683	961.562	0	0	300	1261.562	0
DP0091	2	0;581;481;479;0	12:21	15:24	75223	1053.122	0	0	300	1353.122	0
DP0092	2	0;118;685;694;0	10:49	14:36	79246	1109.444	0	15.6	300	1425.044	0
DP0093	2	0;149;458;751;485;151;290;0	8:16	13:19	97687	1367.618	0	0.8	300	1668.418	0
DP0094	2	0;640;777;134;218;0	8:20	12:43	94681	1325.534	0	10.8	300	1636.334	0
DP0095	2	0;989;817;324;435;183;835;490;471;0	8:25	15:29	109875	1538.25	0	18.4	300	1856.65	0
DP0096	2	0;233;794;655;321;701;177;80;0	8:24	14:9	104775	1466.85	0	2.8	300	1769.65	0
DP0097	2	0;340;756;420;425;586;38;885;398;965;1094;0	8:56	17:0	138641	1940.974	50	4.8	300	2295.774	1
DP0098	2	0;393;861;418;95;971;24;1069;0	10:18	16:46	130947	1833.258	50	7.2	300	2190.458	1
DP0099	2	0;664;752;292;457;960;0	10:27	15:17	114433	1602.062	0	0	300	1902.062	0
DP0100	2	0;709;311;0	12:22	14:52	72997	1021.958	0	0	300	1321.958	0
DP0101	2	0;453;991;934;207;676;168;44;661;516;852;1015;0	8:18	16:38	128256	1795.584	50	4	300	2149.584	1
DP0102	2	0;796;644;657;0	8:28	11:38	81495	1140.93	0	0	300	1440.93	0
DP0103	2	0;695;59;426;193;854;753;876;679;906;0	8:50	16:4	112110	1569.54	0	10	300	1879.54	0
DP0104	2	0;608;447;951;838;848;0	10:28	15:4	101219	1417.066	0	0	300	1717.066	0
DP0105	2	0;705;929;23;0	12:19	15:25	78567	1099.938	0	0	300	1399.938	0
DP0106	2	0;969;513;47;0	12:26	15:22	69892	978.488	0	0	300	1278.488	0
DP0107	2	0;369;365;604;0	8:57	14:39	78951	1105.314	0	62.4	300	1467.714	0
DP0108	2	0;368;914;357;123;73;823;503;381;905;1075;0	8:1	16:31	158644	2221.016	50	6	300	2577.016	1
DP0109	2	0;25;582;660;327;908;245;53;619;895;1031;0	8:13	16:34	162812	2279.368	50	0	300	2629.368	1
DP0110	2	0;728;156;498;834;651;726;706;112;1036;0	8:9	16:6	149171	2088.394	50	9.2	300	2447.594	1
DP0111	2	0;42;670;190;642;875;558;506;993;857;1027;0	8:40	16:59	151860	2126.04	50	5.2	300	2481.24	1
DP0112	2	0;277;690;402;253;1031;0	8:36	14:1	143250	2005.5	50	0	300	2355.5	1
DP0113	2	0;698;849;0	8:35	11:31	95857	1341.998	0	0	300	1641.998	0
DP0114	2	0;313;720;502;927;318;6;433;10;1005;83;0	8:14	16:49	174716	2446.024	50	0	300	2796.024	1
DP0115	2	0;903;773;98;450;464;214;1090;0	8:9	14:24	129957	1819.398	50	2	300	2171.398	1
DP0116	2	0;635;370;733;466;997;683;1005;0	8:0	14:23	140805	1971.27	50	0	300	2321.27	1
DP0117	2	0;198;238;210;0	8:33	12:29	106605	1492.47	0	6.8	300	1799.27	0
DP0118	2	0;251;805;819;730;0	8:45	12:51	102835	1439.69	0	0	300	1739.69	0
DP0119	2	0;82;727;265;201;0	12:13	16:35	116269	1627.766	0	0	300	1927.766	0
DP0120	2	0;672;842;881;415;0	12:15	16:41	119513	1673.182	0	0	300	1973.182	0
DP0121	2	0;758;587;595;0	12:12	15:30	87709	1227.926	0	0	300	1527.926	0
DP0122	2	0;862;294;364;588;0	8:13	14:53	117723	1648.122	0	54.8	300	2002.922	0
DP0123	2	0;950;596;704;0	8:44	15:0	111520	1561.28	0	60	300	1921.28	0
DP0124	2	0;384;409;0	8:38	11:27	89262	1249.668	0	0	300	1549.668	0
DP0125	2	0;981;986;0	8:32	11:37	102935	1441.09	0	0	300	1741.09	0
DP0126	2	0;988;296;0	8:43	11:38	94866	1328.124	0	0	300	1628.124	0
DP0127	2	0;109;387;825;566;176;0	8:13	13:5	111633	1562.862	0	2.4	300	1865.262	0
DP0128	2	0;184;449;320;460;0	8:3	12:18	110710	1549.94	0	0	300	1849.94	0
DP0129	2	0;194;243;884;267;867;1001;0	8:0	13:44	134319	1880.466	50	0	300	2230.466	1
DP0130	2	0;534;142;613;792;488;187;127;301;119;994;1071;0	8:13	16:51	137001	1918.014	50	7.6	300	2275.614	1
DP0131	2	0;684;22;978;325;155;569;68;305;1050;0	8:1	16:16	142859	2000.026	50	19.2	300	2369.226	1
DP0132	2	0;853;634;332;622;924;1098;0	8:9	13:55	135975	1903.65	50	0	300	2253.65	1
DP0133	2	0;69;165;530;626;1098;0	12:9	17:12	125649	1759.086	50	0	300	2109.086	1
DP0134	2	0;995;222;786;87;0	12:8	16:20	107324	1502.536	0	0	300	1802.536	0
DP0135	2	0;942;412;372;55;0	12:10	16:28	112779	1578.906	0	0	300	1878.906	0
DP0136	2	0;367;451;824;0	12:46	16:24	105585	1478.19	0	0	300	1778.19	0
DP0137	2	0;120;643;0	8:0	11:6	103813	1453.382	0	0	300	1753.382	0
DP0138	2	0;268;523;913;0	10:1	14:55	114177	1598.478	0	25.6	300	1924.078	0
DP0139	2	0;725;536;0	10:4	14:46	95943	1343.202	0	41.6	300	1684.802	0
DP0140	2	0;374;555;240;15;432;34;0	8:7	13:52	117931	1651.034	0	8	300	1959.034	0
DP0141	2	0;788;249;559;448;326;373;1020;0	8:2	15:8	149193	2088.702	50	13.2	300	2451.902	1
DP0142	2	0;137;554;377;1020;0	8:33	13:38	152605	2136.47	50	0	300	2486.47	1
DP0143	2	0;681;872;624;515;812;1057;0	10:7	16:11	127177	1780.478	50	10.8	300	2141.278	1
DP0144	2	0;116;928;556;317;0	12:5	16:23	114393	1601.502	0	0	300	1901.502	0
DP0145	2	0;526;920;638;287;0	12:4	16:30	119476	1672.664	0	0	300	1972.664	0
DP0146	2	0;196;653;847;0	8:4	14:47	107928	1510.992	0	72.8	300	1883.792	0
DP0147	2	0;982;514;827;144;414;0	8:7	12:52	110526	1547.364	0	0	300	1847.364	0
DP0148	2	0;88;627;407;0	8:15	11:46	98846	1383.844	0	0	300	1683.844	0
DP0149	2	0;91;750;182;789;0	12:16	16:33	111035	1554.49	0	0	300	1854.49	0
DP0150	2	0;271;703;0	9:13	12:0	88145	1234.03	0	0	300	1534.03	0
DP0151	2	0;20;953;162;633;962;858;560;1056;295;0	8:0	16:33	172092	2409.288	50	12.8	300	2772.088	1
DP0152	2	0;103;244;567;361;528;589;65;787;1010;829;0	8:0	17:6	193391	2707.474	50	2.8	300	3060.274	1
DP0153	2	0;132;174;691;306;278;739;1056;890;0	8:0	15:56	174205	2438.87	50	9.6	300	2798.47	1
DP0154	2	0;256;916;355;56;1056;0	8:26	13:46	139481	1952.734	50	0	300	2302.734	1
DP0155	2	0;344;984;713;1056;0	11:51	16:37	136172	1906.408	50	0	300	2256.408	1
DP0156	2	0;261;769;16;963;427;353;105;1100;0	8:0	15:17	160322	2244.508	50	0	300	2594.508	1
DP0157	2	0;886;736;388;50;39;359;1010;572;235;0	8:0	16:58	196858	2756.012	50	10.8	300	3116.812	1
DP0158	2	0;631;946;533;228;443;711;632;737;1053;0	8:0	16:25	158854	2223.956	50	15.6	300	2589.556	1
DP0159	2	0;61;143;147;26;308;1100;702;439;0	8:28	16:35	202958	2841.412	50	0	300	3191.412	1
DP0160	2	0;444;768;1033;0	8:9	12:35	144318	2020.452	50	0	300	2370.452	1
DP0161	2	0;527;869;957;274;1010;0	11:34	17:30	169120	2367.68	50	0	300	2717.68	1
DP0162	2	0;774;431;77;889;1010;0	11:39	17:42	176070	2464.98	50	0	300	2814.98	1
DP0163	2	0;639;386;12;1010;0	12:25	17:52	170329	2384.606	50	0	300	2734.606	1
DP0164	2	0;262;49;1100;0	8:43	15:10	137211	1920.954	50	51.6	300	2322.554	1
DP0165	2	0;822;1039;0	12:12	15:58	137063	1918.882	50	0	300	2268.882	1
DP0166	2	0;111;258;592;343;159;671;75;1033;0	8:0	15:43	158018	2212.252	50	11.6	300	2573.852	1
DP0167	2	0;185;987;762;192;51;708;1010;594;0	8:0	16:47	191369	2679.166	50	20.8	300	3049.966	1
DP0168	2	0;487;933;1;637;350;537;1007;585;547;0	8:0	16:28	193097	2703.358	50	0	300	3053.358	1
DP0169	2	0;956;540;583;390;519;1002;469;395;0	8:0	16:23	198703	2781.842	50	8	300	3139.842	1
DP0170	2	0;129;507;500;405;1089;667;96;76;242;0	8:0	16:23	187339	2622.746	50	1.2	300	2973.946	1
DP0171	2	0;575;804;958;239;1089;19;0	8:0	14:57	187706	2627.884	50	3.2	300	2981.084	1
DP0172	2	0;52;379;72;959;1100;0	8:22	13:48	133507	1869.098	50	4.8	300	2223.898	1
DP0173	2	0;474;179;985;421;1074;209;961;231;0	8:0	16:47	217610	3046.54	50	8	300	3404.54	1
DP0174	2	0;483;424;901;1033;0	8:23	13:30	153716	2152.024	50	0	300	2502.024	1
DP0175	2	0;729;775;1074;0	8:41	13:9	146456	2050.384	50	0	300	2400.384	1
DP0176	2	0;780;968;1089;0	8:35	13:15	156972	2197.608	50	0	300	2547.608	1
DP0177	2	0;584;371;551;1045;0	12:7	17:27	164311	2300.354	50	0	300	2650.354	1
DP0178	2	0;203;347;115;117;623;486;241;915;1068;252;0	8:0	16:27	167924	2350.936	50	0	300	2700.936	1
DP0179	2	0;234;358;931;21;286;552;1068;139;0	8:0	16:10	184904	2588.656	50	9.2	300	2947.856	1
DP0180	2	0;688;67;833;300;333;1001;378;836;0	8:0	16:38	208801	2923.214	50	9.2	300	3282.414	1
DP0181	2	0;227;302;687;197;614;1007;599;110;0	8:0	16:31	201349	2818.886	50	9.6	300	3178.486	1
DP0182	2	0;893;517;674;549;696;879;138;1007;0	8:0	16:24	184339	2580.746	50	15.2	300	2945.946	1
DP0183	2	0;70;422;851;1007;0	8:14	13:25	156411	2189.754	50	0	300	2539.754	1
DP0184	2	0;312;403;597;1068;0	8:16	13:5	137774	1928.836	50	0	300	2278.836	1
DP0185	2	0;892;260;219;1068;0	11:42	16:36	142847	1999.858	50	0	300	2349.858	1
DP0186	2	0;747;100;299;1009;0	8:29	15:44	131047	1834.658	50	62.4	300	2247.058	1
DP0187	2	0;169;864;1089;0	12:23	16:45	141795	1985.13	50	0	300	2335.13	1
DP0188	2	0;828;354;923;1028;0	9:14	14:36	138047	1932.658	50	13.6	300	2296.258	1
DP0189	2	0;154;505;230;0	10:45	15:25	96149	1346.086	0	29.2	300	1675.286	0
DP0190	2	0;618;654;0	10:1	14:6	101107	1415.498	0	24.8	300	1740.298	0
DP0191	2	0;745;66;1048;0	10:34	15:18	140803	1971.242	50	9.2	300	2330.442	1
DP0192	2	0;790;0	12:49	13:41	18142	253.988	0	0	300	553.988	0
DP0193	2	0;718;0	12:53	14:37	61126	855.764	0	0	300	1155.764	0
DP0194	2	0;795;0	12:18	15:12	119490	1672.86	0	0	300	1972.86	0
